orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,orgunitlevel6,organisationunitid,organisationunitname,organisationunitcode,periodid,periodname,periodcode,NUT_10-19 Screened for Nutrition - Normal,NUT_10-19 Screened for Nutrition - Underweight,NUT_10-19 Screened for Nutrition-Obese,NUT_10-19 Screened for Nutrition-Overweight,NUT_10-19 Screened for Nutrition-Very Obese,NUT_Children 24 - 59 Months Dewormed,NUT_Children 6-59 Months Received Vitamin A by Dose,NUT_Children 6-59 Months received Vitamin A by Age,NUT_Children < 5 years Screened for Acute Malnutrition,NUT_Children <2 Years Weighted during GMP Session,NUT_Children <5 Years Screened with MAM,NUT_Children <5 Years Screened with SAM,NUT_Children Exit MAM Treatment,NUT_Children Exit SAM Treatment (OTP),NUT_Children With MAM Admitted to OTP,NUT_Children With SAM Admitted To OTP,NUT_Children with SAM Admitted to SC,NUT_Live Births Weighed,NUT_MAM at Beginning of the Month,"NUT_Modere Malnutrition, By Age (Between -2 And -3)",NUT_NUT_SC_Children Defaulted,NUT_Newborns < 2500 gm,NUT_PLW Screened for Acute Malnutrition By MUAC Status,NUT_PLW screened for acute malnutrition By status,NUT_Pregnant Women De-Wormed,NUT_Pregnant Women Received IFA - 90+,NUT_SAM at Beginning SC of The Month,NUT_SAM at Beginning of the Month,NUT_SC_Children Cured,NUT_SC_Children Died,NUT_SC_Children Exit SAM Treatment (SC),NUT_SC_Children Non-Respondent,NUT_SC_Children Stabilized,NUT_SC_Children Transferred Out,"NUT_Severe Malnutrition, By Age (Z-Score Below (-3)",Latitude,Longitude,eth_year,eth_month,greg_date,greg_year,greg_month,greg_day,greg_month_name,period_start_gc,period_end_gc,period_ec,period_gc
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201105,Tir 2011,201105,,,,,,0,0,0,,0,,,,,,,,21,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2011,5,1/9/2019,2019,1,9,January,1/9/2019,1/31/2019,2011-05,2019-01
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201106,Yekatit 2011,201106,,,,,,0,0,0,,0,,,,,,,,0,,0,,0,46,,0,0,,,,,,,,,0,6.3126358,42.6483043,2011,6,2/8/2019,2019,2,8,February,2/8/2019,2/28/2019,2011-06,2019-02
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201107,Megabit 2011,201107,,,,,,0,0,0,,0,,,,,,,,17,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2011,7,3/10/2019,2019,3,10,March,3/10/2019,3/31/2019,2011-07,2019-03
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201108,Miazia 2011,201108,,,,,,0,0,0,,0,,,,,,,,0,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2011,8,4/9/2019,2019,4,9,April,4/9/2019,4/30/2019,2011-08,2019-04
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201109,Ginbot 2011,201109,,,,,,0,0,0,,0,,,,,,,,0,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2011,9,5/9/2019,2019,5,9,May,5/9/2019,5/31/2019,2011-09,2019-05
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201110,Sene 2011,201110,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,6.3126358,42.6483043,2011,10,6/8/2019,2019,6,8,June,6/8/2019,6/30/2019,2011-10,2019-06
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201111,Hamle 2011,201111,,,,,,0,0,0,,0,,,,,,,,0,,0,,0,41,,0,0,,,,,,,,,0,6.3126358,42.6483043,2011,11,7/8/2019,2019,7,8,July,7/8/2019,7/31/2019,2011-11,2019-07
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201112,Nehase 2011,201112,,,,,,0,0,0,,0,,,,,,,,0,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2011,12,8/7/2019,2019,8,7,August,8/7/2019,8/31/2019,2011-12,2019-08
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201201,Meskerem 2012,201201,,,,,,0,0,0,,0,,,,,,,,10,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2012,1,9/12/2019,2019,9,12,September,9/12/2019,9/30/2019,2012-01,2019-09
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201202,Tikemet 2012,201202,,,,,,0,0,0,,0,,,,,,,,0,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2012,2,10/12/2019,2019,10,12,October,10/12/2019,10/31/2019,2012-02,2019-10
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201203,Hidar 2012,201203,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,6.3126358,42.6483043,2012,3,11/11/2019,2019,11,11,November,11/11/2019,11/30/2019,2012-03,2019-11
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201204,Tahesas 2012,201204,,,,,,199,199,199,,0,,,,,,,,0,,0,,0,46,,0,46,,,,,,,,,0,6.3126358,42.6483043,2012,4,12/11/2019,2019,12,11,December,12/11/2019,12/31/2019,2012-04,2019-12
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201205,Tir 2012,201205,,,,,,0,0,0,,0,,,,,,,,17,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2012,5,1/10/2020,2020,1,10,January,1/10/2020,1/31/2020,2012-05,2020-01
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201206,Yekatit 2012,201206,,,,,,0,0,0,,0,,,,,,,,0,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2012,6,2/9/2020,2020,2,9,February,2/9/2020,2/29/2020,2012-06,2020-02
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201207,Megabit 2012,201207,,,,,,0,0,0,,0,,,,,,,,0,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2012,7,3/10/2020,2020,3,10,March,3/10/2020,3/31/2020,2012-07,2020-03
Federal Ministry Of Health,Somali Region,Afder Zone,West Imay Woreda,Abaqorow_PHCU,Abaqorow Health Center,CPWsDJ9Kkra,Abaqorow Health Center,1055907,201208,Miazia 2012,201208,,,,,,0,0,0,,0,,,,,,,,0,,0,,0,0,,0,0,,,,,,,,,0,6.3126358,42.6483043,2012,8,4/9/2020,2020,4,9,April,4/9/2020,4/30/2020,2012-08,2020-04
