region,woreda,date,acute_cases,roll_mean,roll_std,variability_factor
amhara,beyeda,2019-01-01,0.0,,,
amhara,beyeda,2019-02-01,0.0,,,
amhara,beyeda,2019-03-01,0.0,0.0,0.0,
amhara,beyeda,2019-04-01,0.0,0.0,0.0,
amhara,beyeda,2019-05-01,0.0,0.0,0.0,
amhara,beyeda,2019-06-01,0.0,0.0,0.0,
amhara,beyeda,2019-07-01,0.0,0.0,0.0,
amhara,beyeda,2019-08-01,0.0,0.0,0.0,
amhara,beyeda,2019-09-01,0.0,0.0,0.0,
amhara,beyeda,2019-10-01,0.0,0.0,0.0,
amhara,beyeda,2019-11-01,0.0,0.0,0.0,
amhara,beyeda,2019-12-01,0.0,0.0,0.0,
amhara,beyeda,2020-01-01,0.0,0.0,0.0,
amhara,beyeda,2020-02-01,0.0,0.0,0.0,
amhara,beyeda,2020-03-01,0.0,0.0,0.0,
amhara,beyeda,2020-04-01,0.0,0.0,0.0,
amhara,beyeda,2020-05-01,0.0,0.0,0.0,
amhara,beyeda,2020-06-01,0.0,0.0,0.0,
amhara,beyeda,2020-07-01,0.0,0.0,0.0,
amhara,beyeda,2020-08-01,0.0,0.0,0.0,
amhara,beyeda,2020-09-01,0.0,0.0,0.0,
amhara,beyeda,2020-10-01,0.0,0.0,0.0,
amhara,beyeda,2020-11-01,0.0,0.0,0.0,
amhara,beyeda,2020-12-01,0.0,0.0,0.0,
amhara,beyeda,2021-01-01,0.0,0.0,0.0,
amhara,beyeda,2021-02-01,0.0,0.0,0.0,
amhara,beyeda,2021-03-01,0.0,0.0,0.0,
amhara,beyeda,2021-04-01,0.0,0.0,0.0,
amhara,beyeda,2021-05-01,0.0,0.0,0.0,
amhara,beyeda,2021-06-01,0.0,0.0,0.0,
amhara,beyeda,2021-07-01,0.0,0.0,0.0,
amhara,beyeda,2021-08-01,0.0,0.0,0.0,
amhara,beyeda,2021-09-01,0.0,0.0,0.0,
amhara,beyeda,2021-10-01,0.0,0.0,0.0,
amhara,beyeda,2021-11-01,0.0,0.0,0.0,
amhara,beyeda,2021-12-01,0.0,0.0,0.0,
amhara,beyeda,2022-01-01,0.0,0.0,0.0,
amhara,beyeda,2022-02-01,0.0,0.0,0.0,
amhara,beyeda,2022-03-01,0.0,0.0,0.0,
amhara,beyeda,2022-04-01,0.0,0.0,0.0,
amhara,beyeda,2022-05-01,0.0,0.0,0.0,
amhara,beyeda,2022-06-01,0.0,0.0,0.0,
amhara,beyeda,2022-07-01,467.0,77.83333333333333,190.65195164662404,2.4494897427831783
amhara,beyeda,2022-08-01,341.0,134.66666666666666,212.39554295386395,1.5771946258950296
amhara,beyeda,2022-09-01,130.0,156.33333333333334,202.301425270972,1.2940389676181576
amhara,beyeda,2022-10-01,185.0,187.16666666666666,187.24680682635596,1.0004281753856954
amhara,beyeda,2022-11-01,235.0,226.33333333333334,163.31523709276692,0.7215695306013266
amhara,beyeda,2022-12-01,684.0,340.3333333333333,206.6955893740035,0.6073327797473169
amhara,beyeda,2023-01-01,209.0,297.3333333333333,201.85407270269945,0.6788814104350879
amhara,beyeda,2023-02-01,290.0,288.8333333333333,200.71812739926276,0.6949271577585555
amhara,beyeda,2023-03-01,268.0,311.8333333333333,186.2637019568404,0.5973181249284033
amhara,beyeda,2023-04-01,56.0,290.3333333333333,209.791007115812,0.722586706483853
amhara,beyeda,2023-05-01,152.0,276.5,216.78906799006265,0.7840472621702085
amhara,beyeda,2023-06-01,223.0,199.66666666666666,85.29165648917058,0.4271702328339094
amhara,beyeda,2023-07-01,142.0,188.5,88.16291737459693,0.46770778448062034
amhara,beyeda,2023-08-01,130.0,161.83333333333334,74.45378879994404,0.4600646063848241
amhara,beyeda,2023-09-01,250.0,158.83333333333334,69.5195416172077,0.43768861458892566
amhara,beyeda,2023-10-01,201.0,183.0,48.71139497078694,0.2661824861791636
amhara,beyeda,2023-11-01,448.0,232.33333333333334,115.34759064092616,0.49647456516897914
amhara,beyeda,2023-12-01,425.0,266.0,139.11002839479264,0.5229700315593708
amhara,beyeda,2024-01-01,114.0,261.3333333333333,144.46822026545033,0.5528120673422845
amhara,beyeda,2024-02-01,84.0,253.66666666666666,153.75391593929135,0.6061258184203339
amhara,beyeda,2024-03-01,230.0,250.33333333333334,154.06578681416156,0.6154425571804056
amhara,beyeda,2024-04-01,281.0,263.6666666666667,152.39510053366766,0.5779839463982338
amhara,beyeda,2024-05-01,369.0,250.5,135.79212053723884,0.5420843135219116
amhara,beyeda,2024-06-01,157.0,205.83333333333334,108.18394828562448,0.52559003215688
amhara,beyeda,2024-07-01,0.0,186.83333333333334,134.3777015232314,0.7192383667612742
amhara,beyeda,2024-08-01,0.0,172.83333333333334,150.62724410499806,0.8715173236547621
amhara,beyeda,2024-09-01,0.0,134.5,162.0058640913964,1.2045045657352893
amhara,beyeda,2024-10-01,0.0,87.66666666666667,151.45780490508457,1.7276555692595197
amhara,beyeda,2024-11-01,0.0,26.166666666666668,64.09498160282644,2.4494897427831757
amhara,beyeda,2024-12-01,0.0,0.0,0.0,
amhara,debark_town,2019-01-01,0.0,,,
amhara,debark_town,2019-02-01,0.0,,,
amhara,debark_town,2019-03-01,0.0,0.0,0.0,
amhara,debark_town,2019-04-01,0.0,0.0,0.0,
amhara,debark_town,2019-05-01,0.0,0.0,0.0,
amhara,debark_town,2019-06-01,0.0,0.0,0.0,
amhara,debark_town,2019-07-01,0.0,0.0,0.0,
amhara,debark_town,2019-08-01,0.0,0.0,0.0,
amhara,debark_town,2019-09-01,0.0,0.0,0.0,
amhara,debark_town,2019-10-01,0.0,0.0,0.0,
amhara,debark_town,2019-11-01,0.0,0.0,0.0,
amhara,debark_town,2019-12-01,0.0,0.0,0.0,
amhara,debark_town,2020-01-01,0.0,0.0,0.0,
